Setting logging level to DEBUG
2018-11-03 14:08:25.208+01:00 | nioEventLoopGroup-3-1 | DEBUG | ECIESHandshaker | Received responder's ECIES handshake message from node 0xd9f3454f780da7457f00c17f26939ca3...: tech.pegasys.pantheon.ethereum.p2p.rlpx.handshake.ecies.ResponderHandshakeMessageV4@56df224c
2018-11-03 14:08:25.210+01:00 | nioEventLoopGroup-3-1 | DEBUG | ECIESHandshaker | Handshake status set to SUCCESS
2018-11-03 14:08:25.210+01:00 | nioEventLoopGroup-3-1 | DEBUG | AbstractHandshakeHandler | Sending framed hello
2018-11-03 14:08:25.211+01:00 | nioEventLoopGroup-3-1 | DEBUG | AbstractHandshakeHandler | Successfully wrote hello message
2018-11-03 14:08:25.332+01:00 | nioEventLoopGroup-3-1 | DEBUG | DeFramer | Received HELLO message: PeerInfo{version=5, clientId='pantheon/0.8.1', capabilities=[eth/62, eth/63], port=30303, nodeId=0xd9f3454f780da7457f00c17f26939ca3934b13add0ba78139a0ce266316e713d73e8bda6053ec3413d578352a4aecd1d54e8344b358db00ea7eb970ce5ca98d7}
2018-11-03 14:08:25.332+01:00 | nioEventLoopGroup-3-1 | DEBUG | DeFramer | Enable compression for p2pVersion: 5
2018-11-03 14:08:25.377+01:00 | nioEventLoopGroup-3-1 | DEBUG | EthProtocolManager | Sending status message to 0xd9f3454f780da7457f....
2018-11-03 14:08:25.401+01:00 | nioEventLoopGroup-3-1 | DEBUG | NettyP2PNetwork | Connection established to peer: 0xd9f3454f780da7457f00c17f26939ca3934b13add0ba78139a0ce266316e713d73e8bda6053ec3413d578352a4aecd1d54e8344b358db00ea7eb970ce5ca98d7
2018-11-03 14:08:25.401+01:00 | nioEventLoopGroup-3-1 | DEBUG | NettyP2PNetwork | Connections: 4 pending, 1 active connections.
2018-11-03 14:08:25.407+01:00 | nioEventLoopGroup-3-1 | DEBUG | ApiHandler | Received Wire DISCONNECT (TOO_MANY_PEERS) from peer: pantheon/0.8.1
2018-11-03 14:08:25.407+01:00 | nioEventLoopGroup-3-1 | DEBUG | NettyPeerConnection | Disconnected (TOO_MANY_PEERS) from PeerInfo{version=5, clientId='pantheon/0.8.1', capabilities=[eth/62, eth/63], port=30303, nodeId=0xd9f3454f780da7457f00c17f26939ca3934b13add0ba78139a0ce266316e713d73e8bda6053ec3413d578352a4aecd1d54e8344b358db00ea7eb970ce5ca98d7}
2018-11-03 14:08:25.411+01:00 | nioEventLoopGroup-3-1 | DEBUG | EthProtocolManager | Peer requested to be disconnected (TOO_MANY_PEERS), 0 peers left: EthPeers{connections=}
2018-11-03 14:08:47.301+01:00 | nioEventLoopGroup-3-1 | DEBUG | ECIESHandshaker | Received responder's ECIES handshake message from node 0xefad3d812040e121ac22d78d1c3209cc...: tech.pegasys.pantheon.ethereum.p2p.rlpx.handshake.ecies.ResponderHandshakeMessageV4@64921de5
2018-11-03 14:08:47.304+01:00 | nioEventLoopGroup-3-1 | DEBUG | ECIESHandshaker | Handshake status set to SUCCESS
2018-11-03 14:08:47.304+01:00 | nioEventLoopGroup-3-1 | DEBUG | AbstractHandshakeHandler | Sending framed hello
2018-11-03 14:08:47.305+01:00 | nioEventLoopGroup-3-1 | DEBUG | AbstractHandshakeHandler | Successfully wrote hello message
2018-11-03 14:08:47.547+01:00 | nioEventLoopGroup-3-1 | DEBUG | DeFramer | Received HELLO message: PeerInfo{version=5, clientId='Ethereum(J)/v1.9.0/Linux/Release/Java/Dev', capabilities=[eth/62, eth/63], port=30303, nodeId=0xefad3d812040e121ac22d78d1c3209cc8d8ad40d9f52d06ab606429eb12ec1167fd749a2ff33a1e4b75d039654159a367915a5955e3fcbaeaeb983f17494b3d4}
2018-11-03 14:08:47.547+01:00 | nioEventLoopGroup-3-1 | DEBUG | DeFramer | Enable compression for p2pVersion: 5
2018-11-03 14:08:47.548+01:00 | nioEventLoopGroup-3-1 | DEBUG | EthProtocolManager | Sending status message to 0xefad3d812040e121ac....
2018-11-03 14:08:47.549+01:00 | nioEventLoopGroup-3-1 | DEBUG | NettyP2PNetwork | Connection established to peer: 0xefad3d812040e121ac22d78d1c3209cc8d8ad40d9f52d06ab606429eb12ec1167fd749a2ff33a1e4b75d039654159a367915a5955e3fcbaeaeb983f17494b3d4
2018-11-03 14:08:47.550+01:00 | nioEventLoopGroup-3-1 | DEBUG | NettyP2PNetwork | Connections: 3 pending, 1 active connections.
2018-11-03 14:08:47.597+01:00 | nioEventLoopGroup-3-1 | DEBUG | EthProtocolManager | Received status message from 0xefad3d812040e121ac...: tech.pegasys.pantheon.ethereum.eth.messages.StatusMessage@53318c46
2018-11-03 14:08:47.598+01:00 | nioEventLoopGroup-3-1 | DEBUG | ChainHeadTracker | Requesting chain head info for 0xefad3d812040e121ac...
2018-11-03 14:08:47.601+01:00 | nioEventLoopGroup-3-1 | DEBUG | GetHeadersFromPeerByHashTask | Requesting 1 headers from peer 0xefad3d812040e121ac....
2018-11-03 14:08:47.607+01:00 | nioEventLoopGroup-3-1 | INFO  | WaitForPeersTask | Finished waiting for peers to connect.
2018-11-03 14:08:47.611+01:00 | nioEventLoopGroup-3-1 | DEBUG | DetermineCommonAncestorTask | Searching for common ancestor with 0xefad3d812040e121ac... between 0 and 3220
2018-11-03 14:08:47.613+01:00 | nioEventLoopGroup-3-1 | DEBUG | GetHeadersFromPeerByNumberTask | Requesting 10 headers from peer 0xefad3d812040e121ac....
2018-11-03 14:08:47.639+01:00 | nioEventLoopGroup-3-1 | DEBUG | AbstractGetHeadersFromPeerTask | Received 1 of 1 headers requested from peer.
2018-11-03 14:08:47.719+01:00 | nioEventLoopGroup-3-1 | DEBUG | AbstractGetHeadersFromPeerTask | Received 10 of 10 headers requested from peer.
2018-11-03 14:08:47.726+01:00 | nioEventLoopGroup-3-1 | INFO  | AbstractMiningCoordinator | Pausing mining while behind chain head
2018-11-03 14:08:47.727+01:00 | nioEventLoopGroup-3-1 | INFO  | Downloader | Found common ancestor with peer 0xefad3d812040e121ac... at block 3220
2018-11-03 14:08:47.728+01:00 | nioEventLoopGroup-3-1 | DEBUG | Downloader | Requesting checkpoint headers from 3220
2018-11-03 14:08:47.729+01:00 | nioEventLoopGroup-3-1 | DEBUG | GetHeadersFromPeerByHashTask | Requesting 11 headers from peer 0xefad3d812040e121ac....
2018-11-03 14:08:47.819+01:00 | nioEventLoopGroup-3-1 | DEBUG | AbstractGetHeadersFromPeerTask | Received 11 of 11 headers requested from peer.
2018-11-03 14:08:47.819+01:00 | nioEventLoopGroup-3-1 | DEBUG | Downloader | Tracking 11 checkpoint headers
2018-11-03 14:08:47.832+01:00 | nioEventLoopGroup-3-1 | DEBUG | PipelinedImportChainSegmentTask | Importing chain segment from 3220 to 3420.
2018-11-03 14:08:47.833+01:00 | nioEventLoopGroup-3-1 | DEBUG | PipelinedImportChainSegmentTask | Downloading headers 3221 to 3240
2018-11-03 14:08:47.835+01:00 | nioEventLoopGroup-3-1 | DEBUG | DownloadHeaderSequenceTask | Downloading headers from 3221 to 3239.
2018-11-03 14:08:47.837+01:00 | nioEventLoopGroup-3-1 | DEBUG | GetHeadersFromPeerByHashTask | Requesting 20 headers from peer 0xefad3d812040e121ac....
2018-11-03 14:08:48.019+01:00 | nioEventLoopGroup-3-1 | DEBUG | AbstractGetHeadersFromPeerTask | Received 20 of 20 headers requested from peer.
2018-11-03 14:08:48.503+01:00 | EthScheduler-Workers | DEBUG | TransactionsMessageProcessor | Received transactions message from 0xefad3d812040e121ac...
2018-11-03 14:08:48.896+01:00 | EthScheduler-Workers | DEBUG | TransactionsMessageProcessor | Received transactions message from 0xefad3d812040e121ac...
2018-11-03 14:08:49.026+01:00 | EthScheduler-Workers | DEBUG | TransactionsMessageProcessor | Received transactions message from 0xefad3d812040e121ac...
2018-11-03 14:08:49.127+01:00 | EthScheduler-Workers | DEBUG | TransactionsMessageProcessor | Received transactions message from 0xefad3d812040e121ac...
2018-11-03 14:08:49.558+01:00 | nioEventLoopGroup-3-1 | DEBUG | ApiHandler | Received Wire PING
2018-11-03 14:08:49.986+01:00 | EthScheduler-Workers | DEBUG | TransactionsMessageProcessor | Received transactions message from 0xefad3d812040e121ac...
2018-11-03 14:08:50.285+01:00 | vert.x-eventloop-thread-1 | INFO  | PeerDiscoveryController | Peer table refresh triggered by timer expiry
2018-11-03 14:08:50.407+01:00 | EthScheduler-Workers | DEBUG | TransactionsMessageProcessor | Received transactions message from 0xefad3d812040e121ac...
2018-11-03 14:08:50.651+01:00 | nioEventLoopGroup-3-1 | DEBUG | NettyP2PNetwork | Failed to connect to peer 0xa979fb575495b8d6db44f750317d0f4622bf4c2aa3365d6af7c284339968eef29b69ad0dce72a4d8db5ebb4968de0e3bec910127f134779fbcb0cb6d3331163c: java.util.concurrent.TimeoutException: Timed out waiting to establish connection with peer: 0xa979fb575495b8d6db44f750317d0f4622bf4c2aa3365d6af7c284339968eef29b69ad0dce72a4d8db5ebb4968de0e3bec910127f134779fbcb0cb6d3331163c
2018-11-03 14:08:50.651+01:00 | nioEventLoopGroup-3-1 | DEBUG | NettyP2PNetwork | Connections: 2 pending, 1 active connections.
2018-11-03 14:08:50.713+01:00 | nioEventLoopGroup-3-1 | DEBUG | NettyP2PNetwork | Failed to connect to peer 0x78de8a0916848093c73790ead81d1928bec737d565119932b98c6b100d944b7a95e94f847f689fc723399d2e31129d182f7ef3863f2b4c820abbf3ab2722344d: java.util.concurrent.TimeoutException: Timed out waiting to establish connection with peer: 0x78de8a0916848093c73790ead81d1928bec737d565119932b98c6b100d944b7a95e94f847f689fc723399d2e31129d182f7ef3863f2b4c820abbf3ab2722344d
2018-11-03 14:08:50.713+01:00 | nioEventLoopGroup-3-1 | DEBUG | NettyP2PNetwork | Connections: 1 pending, 1 active connections.
